practice_code,capital_buffer_floor_months,capex_contingency_pct,best_case_opex_multiplier,base_case_opex_multiplier,worst_case_opex_multiplier,notes
AGROFORESTRY,6,0.06,0.97,1.0,1.14,"Tree systems need working capital through establishment and moderate contingency."
BEEKEEPING,3,0.05,0.98,1.0,1.12,"Bee boxes and colonies need a modest startup reserve."
DAIRY_FODDER,4,0.08,1.0,1.0,1.15,"Livestock systems have steady feed and health cost pressure."
DRIP_INTENSIVE,4,0.07,0.99,1.0,1.14,"High-input drip systems need startup cash and repair allowance."
FISH_POND,6,0.08,1.0,1.0,1.18,"Aquaculture requires setup contingency and longer working-capital lockup."
HYDROPONICS,3,0.1,1.02,1.0,1.2,"Controlled systems carry higher utility and maintenance volatility."
INTEGRATED,4,0.07,0.99,1.0,1.14,"Diversified systems need multi-enterprise working capital."
MUSHROOM,3,0.06,1.0,1.0,1.15,"Indoor growing has recurring climate-control and sanitation sensitivity."
NET_HOUSE,4,0.08,1.0,1.0,1.18,"Protected cultivation requires startup reserve plus repair and pest buffers."
NURSERY,4,0.07,1.0,1.0,1.15,"Nursery operations tie cash into media, trays, and mother stock before sales."
OPEN_FIELD,3,0.05,0.97,1.0,1.1,"Broadacre and basic open-field systems have lower contingency but still need seasonal working capital."
OPEN_FIELD_VEG,4,0.06,0.99,1.0,1.15,"Vegetables have faster cycles but higher harvest, packing, and price-volatility costs."
ORCHARD,12,0.08,0.98,1.0,1.14,"Perennial orchards require long establishment cash support before bearing."
ORCHARD_INTERCROP,8,0.08,0.99,1.0,1.15,"Intercrops soften cashflow but orchard establishment still dominates startup costs."
POLYHOUSE,4,0.1,1.02,1.0,1.2,"Polyhouses need commissioning contingency and high recurring repair/sanitation buffers."
POULTRY_BACKYARD,3,0.06,1.0,1.0,1.16,"Bird mortality and feed-cost swings justify moderate working capital and contingency."
RAIN_FED,3,0.04,0.97,1.0,1.08,"Dryland systems have lower setup costs but still need seasonal cash cover."
